season;R;G;B
spring light;49;201;255
spring light;200;241;183
spring light;253;171;187
spring light;97;203;101
spring light;253;107;122
spring light;255;176;146
spring light;255;241;166
spring light;148;214;209
spring light;239;239;234
spring clear;255;232;58
spring clear;193;190;184
spring clear;49;64;150
spring clear;253;167;165
spring clear;22;154;64
spring clear;255;182;67
spring clear;0;212;196
spring clear;75;210;78
spring clear;255;191;218
spring clear;255;64;74
spring warm;255;143;114
spring warm;251;95;87
spring warm;121;161;74
spring warm;82;184;172
spring warm;144;76;25
spring warm;255;182;67
spring warm;133;211;106
spring warm;225;128;74
spring warm;55;154;71
spring warm;255;114;72
summer light;183;244;252
summer light;181;162;206
summer light;137;227;179
summer light;124;169;212
summer light;219;206;247
summer light;255;220;243
summer light;206;218;229
summer light;73;118;192
summer light;164;104;114
summer light;144;183;255
summer soft;159;107;148
summer soft;76;173;129
summer soft;197;121;125
summer soft;130;143;237
summer soft;155;204;199
summer soft;145;196;236
summer soft;177;89;123
summer soft;255;246;183
summer soft;111;149;182
summer soft;228;106;154
summer cool ;122;66;113
summer cool ;92;227;221
summer cool ;152;42;85
summer cool ;24;55;121
summer cool ;0;165;134
summer cool ;145;196;236
summer cool ;188;142;195
summer cool ;184;183;193
summer cool ;59;192;211
summer cool ;208;49;79
autumn deep;245;152;0
autumn deep;89;61;56
autumn deep;22;74;116
autumn deep;64;25;57
autumn deep;27;61;0
autumn deep;255;210;0
autumn deep;101;106;78
autumn deep;95;46;22
autumn deep;44;19;6
autumn deep;227;36;0
autumn soft;149;121;168
autumn soft;224;134;127
autumn soft;108;190;190
autumn soft;49;100;146
autumn soft;57;107;33
autumn soft;231;113;59
autumn soft;101;106;78
autumn soft;222;193;182
autumn soft;167;85;47
autumn soft;236;216;97
autumn warm;199;28;0
autumn warm;99;109;0
autumn warm;218;103;85
autumn warm;217;159;113
autumn warm;133;67;35
autumn warm;0;65;52
autumn warm;156;35;53
autumn warm;241;96;32
autumn warm;128;180;92
autumn warm;232;193;24
winter deep;92;47;120
winter deep;205;52;135
winter deep;0;72;80
winter deep;152;42;85
winter deep;53;66;97
winter deep;255;242;101
winter deep;95;98;107
winter deep;28;40;130
winter deep;198;31;87
winter deep;0;0;0
winter clear;234;223;255
winter clear;0;133;196
winter clear;35;184;104
winter clear;1;24;134
winter clear;251;251;56
winter clear;255;48;151
winter clear;107;238;220
winter clear;194;31;90
winter clear;98;40;134
winter clear;33;33;33
winter cool;25;87;190
winter cool;51;148;205
winter cool;169;156;190
winter cool;0;86;95
winter cool;134;42;91
winter cool;255;233;242
winter cool;167;167;167
winter cool;37;42;95
winter cool;111;71;134
winter cool;255;255;255
